City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Rawson,AR,2022-01-23 23:01:35,-43.3002,-65.1023,77.9,27,33,26.66
145,Inhambane,MZ,2022-01-23 23:01:35,-23.865,35.3833,76.68,86,95,17.85
146,Klin,RU,2022-01-23 23:01:36,56.3333,36.7333,-0.67,100,98,2.95
147,Bhadrachalam,IN,2022-01-23 23:01:36,17.6667,80.8833,67.73,87,90,2.28
148,Port-Cartier,CA,2022-01-23 23:01:36,50.0334,-66.8654,8.74,90,98,8.97
149,Hithadhoo,MV,2022-01-23 23:01:36,-0.6,73.0833,82.27,65,50,16.06
150,Izhmorskiy,RU,2022-01-23 23:01:37,56.194,86.6414,-8.25,100,89,1.99
151,Sumenep,ID,2022-01-23 23:01:37,-7.0167,113.8667,77.92,89,99,8.3
152,San Vicente,AR,2022-01-23 23:01:37,-26.6167,-54.1333,80.44,57,96,3.31
153,Poum,NC,2022-01-23 23:01:37,-20.2333,164.0167,81.07,67,98,9.93
154,Kurilsk,RU,2022-01-23 23:01:38,45.2333,147.8833,24.13,72,99,5.1
155,Gaya,IN,2022-01-23 23:01:38,24.7833,85.0,56.5,94,34,7.29
156,Port Elizabeth,ZA,2022-01-23 23:01:38,-33.918,25.5701,71.31,79,0,3.09
157,Lac Du Bonnet,CA,2022-01-23 23:01:38,50.2536,-96.0612,4.35,97,100,1.36
158,Geraldton,AU,2022-01-23 23:01:39,-28.7667,114.6,70.21,88,40,10.36
159,Ponnani,IN,2022-01-23 23:01:39,10.767,75.9252,72.72,81,36,5.59
160,Cap Malheureux,MU,2022-01-23 23:01:39,-19.9842,57.6142,78.48,84,47,4.0
161,Doka,SD,2022-01-23 23:01:39,13.5167,35.7667,74.59,29,7,11.83
162,Daru,PG,2022-01-23 23:01:40,-9.0763,143.2092,80.08,87,98,5.14
163,Lake Cowichan,CA,2022-01-23 23:00:22,48.825,-124.0546,38.05,60,67,1.57
164,Hasaki,JP,2022-01-23 23:01:40,35.7333,140.8333,39.6,61,100,24.74
165,Guisa,CU,2022-01-23 23:01:40,20.255,-76.5386,77.16,55,17,1.41
166,Georgetown,MY,2022-01-23 22:59:22,5.4112,100.3354,78.73,93,20,1.99
167,Tuatapere,NZ,2022-01-23 23:01:41,-46.1333,167.6833,62.82,54,45,2.91
168,Clyde River,CA,2022-01-23 23:01:41,70.4692,-68.5914,-13.04,92,100,12.48
169,Saint George,US,2022-01-23 23:01:41,37.1041,-113.5841,57.94,30,0,1.99
170,Pemberton,CA,2022-01-23 23:00:21,50.3164,-122.8027,43.3,85,100,0.4
171,Guerrero Negro,MX,2022-01-23 23:01:41,27.9769,-114.0611,66.42,38,79,8.52
172,Ormara,PK,2022-01-23 23:01:42,25.2088,64.6357,61.02,29,0,14.85
173,Sao Filipe,CV,2022-01-23 23:01:42,14.8961,-24.4956,75.34,69,100,13.76
174,Antalaha,MG,2022-01-23 23:01:42,-14.9003,50.2788,74.62,91,98,3.62
175,Cherskiy,RU,2022-01-23 23:01:43,68.75,161.3,-31.61,98,100,4.45
176,Port Hedland,AU,2022-01-23 23:01:13,-20.3167,118.5667,84.25,89,77,5.75
